estacion,tmedia,fecha_obs
AMCMR,20.5,2017-12-30
CUAMR,19,2017-12-30
CUEMR,20,2017-12-30
HIGMR,20.5,2017-12-30
HUAMR,20,2017-12-30
HUEMR,13.5,2017-12-30
HUIMR,13.5,2017-12-30
HUTMR,20,2017-12-30
HUXMR,17.2,2017-12-30
JOJMR,22.2,2017-12-30
LCUMR,19.5,2017-12-30
OAXMR,19.5,2017-12-30
OBSMR,19.2,2017-12-30
OCTMR,16.5,2017-12-30
PIXMR,21,2017-12-30
PROMR,19.2,2017-12-30
RODMR,22,2017-12-30
SLDMR,17,2017-12-30
TEMMR,22,2017-12-30
TICMR,19,2017-12-30
TILMR,22,2017-12-30
TLOMR,16.2,2017-12-30
TOTMR,17.2,2017-12-30
ZCTMR,21.1,2017-12-30
ARBMX,13,2017-12-30
CHPMX,12.5,2017-12-30
CLYMX,12.2,2017-12-30
CNPMX,11.5,2017-12-30
EMOMX,10.5,2017-12-30
GRDMX,15.5,2017-12-30
K27MX,13.7,2017-12-30
MBLMX,15,2017-12-30
OBSMX,14.2,2017-12-30
PCGMX,11,2017-12-30
SADMX,12,2017-12-30
SLAMX,12,2017-12-30
SNLMX,10.5,2017-12-30
TTLMX,16.5,2017-12-30
TTQMX,12,2017-12-30
ANHNL,12.25,2017-12-30
ARRNL,14,2017-12-30
ASCNL,11.5,2017-12-30
CANNL,16,2017-12-30
CARNL,11,2017-12-30
CDFNL,12.25,2017-12-30
CPRNL,10,2017-12-30
CRUNL,10.5,2017-12-30
CRVNL,10.5,2017-12-30
DARNL,14.5,2017-12-30
GALNL,12,2017-12-30
HGRNL,11,2017-12-30
LBCNL,11.25,2017-12-30
MTMNL,11,2017-12-30
MTRNL,11,2017-12-30
OBSNL,13.1,2017-12-30
ZRGNL,16,2017-12-30
RUINR,25.2,2017-12-30
TEPNR,21.1,2017-12-30
ATEOX,14,2017-12-30
AYUOX,5.5,2017-12-30
BOQOX,22.5,2017-12-30
CDOOX,22.75,2017-12-30
CHIOX,26,2017-12-30
HLOOX,16.2,2017-12-30
IXTOX,27,2017-12-30
JACOX,24.25,2017-12-30
LCAOX,12,2017-12-30
MAROX,21,2017-12-30
OACOX,18.5,2017-12-30
OAOOX,18,2017-12-30
PAPOX,23.8,2017-12-30
PTAOX,26.2,2017-12-30
SCIOX,14,2017-12-30
SCROX,28.2,2017-12-30
SFUOX,21.5,2017-12-30
SNAOX,9.25,2017-12-30
VANOX,23.5,2017-12-30
ZACOX,16.5,2017-12-30
ACHPB,9.2,2017-12-30
ACJPB,12.5,2017-12-30
ADOPB,17.5,2017-12-30
AFRPB,15,2017-12-30
AHAPB,16.5,2017-12-30
AHUPB,7.7,2017-12-30
APAPB,17.5,2017-12-30
ATXPB,17,2017-12-30
AVCPB,20.5,2017-12-30
BDDPB,12,2017-12-30
CDSPB,11,2017-12-30
CEMPB,12,2017-12-30
CHIPB,20.5,2017-12-30
CHLPB,14.7,2017-12-30
CHSPB,21,2017-12-30
CNAPB,15.5,2017-12-30
CNGPB,8.5,2017-12-30
COAPB,19,2017-12-30
CPLPB,12,2017-12-30
CTZPB,13.5,2017-12-30
ECHPB,16,2017-12-30
HJTPB,15,2017-12-30
HQCPB,18,2017-12-30
HUAPB,11,2017-12-30
IZMPB,19.5,2017-12-30
LIBPB,11,2017-12-30
MAYPB,14,2017-12-30
OYAPB,6,2017-12-30
PCRPB,9.5,2017-12-30
PIXPB,20.5,2017-12-30
PUOPB,12.7,2017-12-30
QUIPB,12.25,2017-12-30
RNAPB,16.5,2017-12-30
SCRPB,13.5,2017-12-30
SMCPB,11.5,2017-12-30
SRTPB,13,2017-12-30
TDRPB,11,2017-12-30
TECPB,13.5,2017-12-30
TEHPB,14,2017-12-30
TELPB,19.7,2017-12-30
TEOPB,10.5,2017-12-30
TEZPB,14,2017-12-30
TLPPB,19.5,2017-12-30
TLXPB,14,2017-12-30
TPYPB,12.5,2017-12-30
UDSPB,11.5,2017-12-30
VENPB,15,2017-12-30
XDJPB,13.2,2017-12-30
ZCPPB,10.5,2017-12-30
ZOQPB,14,2017-12-30
ZRGPB,10,2017-12-30
CANQR,25.5,2017-12-30
CHOQR,24.15,2017-12-30
COZQR,27,2017-12-30
FCRQR,24.7,2017-12-30
ACTSI,22.2,2017-12-30
AHMSI,21.2,2017-12-30
ARCSI,22,2017-12-30
AWSSI,21.7,2017-12-30
BDRSI,23,2017-12-30
CHXSI,22.75,2017-12-30
CLCSI,23.2,2017-12-30
CRRSI,19,2017-12-30
EFTSI,22,2017-12-30
GD2SI,23,2017-12-30
GMCSI,22.7,2017-12-30
GSVSI,20.7,2017-12-30
GTNSI,25,2017-12-30
HDZSI,21,2017-12-30
IXPSI,22.5,2017-12-30
JLPSI,21.7,2017-12-30
JNASI,22.5,2017-12-30
JORSI,23.5,2017-12-30
LCRSI,23,2017-12-30
MCHSI,21.5,2017-12-30
MZTSI,21.5,2017-12-30
OBSSI,20.9,2017-12-30
PMHSI,22.2,2017-12-30
QLTSI,21,2017-12-30
RAVSI,22,2017-12-30
RSRSI,23,2017-12-30
SFRSI,22.5,2017-12-30
SJNSI,23.5,2017-12-30
SLRSI,23.2,2017-12-30
SLTSI,24,2017-12-30
SQRSI,21.2,2017-12-30
TBRSI,23.1,2017-12-30
TORSI,23,2017-12-30
VINSI,21,2017-12-30
ZOPSI,21.2,2017-12-30
AJTSL,18.3,2017-12-30
BLMSL,18.7,2017-12-30
CDVSL,20,2017-12-30
GANSL,18.9,2017-12-30
MATSL,15,2017-12-30
MICSL,18.2,2017-12-30
MTPSL,18.4,2017-12-30
NRJSL,19.1,2017-12-30
PMYSL,17,2017-12-30
PUJSL,19.4,2017-12-30
RQTSL,18.2,2017-12-30
RVDSL,17.6,2017-12-30
SGRSL,12,2017-12-30
SLPSL,12.8,2017-12-30
SVTSL,18.6,2017-12-30
TBLSL,19,2017-12-30
TMISL,20.4,2017-12-30
TMTSL,19.4,2017-12-30
ACNSO,17.5,2017-12-30
ALTSO,18,2017-12-30
AOBSO,20.5,2017-12-30
ARCSO,21.75,2017-12-30
ARISO,10.5,2017-12-30
ARZSO,14,2017-12-30
BCNSO,14.5,2017-12-30
BNMSO,18,2017-12-30
CCRSO,20,2017-12-30
CJNSO,19.5,2017-12-30
CNNSO,19,2017-12-30
COBSO,22,2017-12-30
CZNSO,22.5,2017-12-30
ECBSO,17.35,2017-12-30
EPLSO,20.55,2017-12-30
GYMSO,17.1,2017-12-30
HM2SO,22,2017-12-30
HMNSO,24,2017-12-30
HSHSO,10,2017-12-30
IRASO,21.25,2017-12-30
LCDSO,16,2017-12-30
MZTSO,22.5,2017-12-30
NCZSO,18.65,2017-12-30
NGLSO,17.8,2017-12-30
NYNSO,17.5,2017-12-30
ORGSO,24.25,2017-12-30
PDNSO,19.2,2017-12-30
PECSO,22,2017-12-30
PMOSO,22.25,2017-12-30
PTASO,20.25,2017-12-30
PTQSO,14,2017-12-30
QRBSO,20.25,2017-12-30
SBNSO,23,2017-12-30
SLCSO,17,2017-12-30
SRSSO,17.5,2017-12-30
TPCSO,19.5,2017-12-30
TSOSO,21.5,2017-12-30
YCRSO,11.505,2017-12-30
BDCTB,25,2017-12-30
CARTB,24.75,2017-12-30
EMUTB,24.75,2017-12-30
EPOTB,24,2017-12-30
GABTB,24.5,2017-12-30
GONTB,23,2017-12-30
MACTB,24,2017-12-30
OXOTB,24.5,2017-12-30
PNVTB,23.5,2017-12-30
PUYTB,24.5,2017-12-30
SAMTB,23,2017-12-30
SJOTB,25.5,2017-12-30
SPTTB,24.5,2017-12-30
TAPTB,23.25,2017-12-30
TEATB,26.5,2017-12-30
CUATL,12.5,2017-12-30
HMTTL,10.5,2017-12-30
ZITTL,10.5,2017-12-30
ABSTP,15.1,2017-12-30
AHLTP,19.4,2017-12-30
BALTP,18.6,2017-12-30
BR1TP,14.25,2017-12-30
BRRTP,13.8,2017-12-30
CDOTP,10,2017-12-30
CONTP,10.5,2017-12-30
CORTP,14.85,2017-12-30
CVCTP,15.5,2017-12-30
CVTTP,14.25,2017-12-30
ENNTP,15.2,2017-12-30
ERCTP,18,2017-12-30
FDOTP,11.25,2017-12-30
LSRTP,18.9,2017-12-30
MAGTP,11.45,2017-12-30
MATTP,10,2017-12-30
MDRTP,16.9,2017-12-30
MGSTP,19.1,2017-12-30
MHGTP,13.65,2017-12-30
MRGTP,10.5,2017-12-30
PADTP,14.65,2017-12-30
PANTP,10.5,2017-12-30
PDMTP,15.05,2017-12-30
PILTP,14.65,2017-12-30
PJMTP,12.5,2017-12-30
PVLTP,11.9,2017-12-30
RFRTP,19.4,2017-12-30
RSPTP,17.3,2017-12-30
RYATP,10.5,2017-12-30
RYNTP,10.5,2017-12-30
SBNTP,20.5,2017-12-30
SDATP,20,2017-12-30
SGBTP,17.9,2017-12-30
SLMTP,16.3,2017-12-30
SLZTP,19,2017-12-30
STETP,13.95,2017-12-30
TMSTP,18.5,2017-12-30
VCATP,9.5,2017-12-30
VGRTP,15.3,2017-12-30
VHMTP,8.5,2017-12-30
VSMTP,13.95,2017-12-30
ACAVC,16,2017-12-30
ACTVC,22.5,2017-12-30
ALAVC,17,2017-12-30
ALTVC,10.5,2017-12-30
ARCVC,20.75,2017-12-30
BANVC,14.7,2017-12-30
BRIVC,13.5,2017-12-30
CHYVC,16.6,2017-12-30
CLHVC,17.5,2017-12-30
COPVC,21,2017-12-30
COTVC,21.65,2017-12-30
CRDVC,22,2017-12-30
CRRVC,22,2017-12-30
ETEVC,19.5,2017-12-30
GARVC,21.25,2017-12-30
HGOVC,18.2,2017-12-30
HLSVC,18,2017-12-30
HTSVC,14.5,2017-12-30
IDOVC,23.5,2017-12-30
JCRVC,20.7,2017-12-30
JDCVC,23.25,2017-12-30
JOYVC,9.5,2017-12-30
LAUVC,21.75,2017-12-30
LGRVC,9,2017-12-30
LOFVC,22,2017-12-30
LPEVC,23.5,2017-12-30
MDTVC,18.2,2017-12-30
MFAVC,23.25,2017-12-30
MNZVC,20,2017-12-30
MZNVC,16.5,2017-12-30
NAOVC,14.5,2017-12-30
OLVVC,18.4,2017-12-30
ORZVC,16.2,2017-12-30
PDTVC,23.5,2017-12-30
PNCVC,17.8,2017-12-30
PPNVC,16.5,2017-12-30
PRCVC,17.5,2017-12-30
PSNVC,19,2017-12-30
RALVC,22,2017-12-30
RAUVC,19,2017-12-30
SBTVC,19.5,2017-12-30
SONVC,20.25,2017-12-30
TAPVC,17,2017-12-30
TBLVC,22.5,2017-12-30
TMOVC,22,2017-12-30
TMPVC,19.5,2017-12-30
TNCVC,16.5,2017-12-30
TOTVC,15,2017-12-30
TXPVC,18.1,2017-12-30
VERVC,21.9,2017-12-30
VTEVC,21,2017-12-30
XCFVC,15,2017-12-30
XOBVC,16.6,2017-12-30
ABAYC,20,2017-12-30
CANYC,24,2017-12-30
CHIYC,20.75,2017-12-30
CHOYC,24.5,2017-12-30
CYOYC,24.5,2017-12-30
EZAYC,24.5,2017-12-30
FAEYC,24,2017-12-30
GARYC,24.25,2017-12-30
MEOYC,25.2,2017-12-30
MOCYC,22.5,2017-12-30
MTOYC,21.5,2017-12-30
MUNYC,23.5,2017-12-30
OXKYC,22.5,2017-12-30
PETYC,22.5,2017-12-30
PROYC,23.9,2017-12-30
RLAYC,22.5,2017-12-30
TANYC,21,2017-12-30
TICYC,22,2017-12-30
TIZYC,22.75,2017-12-30
VALYC,24.75,2017-12-30
ACHZC,13,2017-12-30
ATGZC,12.5,2017-12-30
BTEZC,14.5,2017-12-30
CHIZC,19.2,2017-12-30
CUAZC,14,2017-12-30
ELCZC,14.2,2017-12-30
ELSZC,11,2017-12-30
EXCZC,15,2017-12-30
GPEZC,13.7,2017-12-30
GRCZC,10.7,2017-12-30
JERZC,16.5,2017-12-30
LBUZC,14.4,2017-12-30
LFLZC,14,2017-12-30
LLBZC,12.2,2017-12-30
LOBZC,14,2017-12-30
LORZC,13,2017-12-30
LREZC,14,2017-12-30
MORZC,18.2,2017-12-30
NCTZC,13.7,2017-12-30
NTAZC,16.5,2017-12-30
PALZC,13.2,2017-12-30
PINZC,9.5,2017-12-30
RGRZC,12.5,2017-12-30
SOMZC,16.1,2017-12-30
STEZC,15.7,2017-12-30
STRZC,13.7,2017-12-30
TAYZC,16,2017-12-30
TCHZC,15,2017-12-30
TGOZC,16.5,2017-12-30
TLAZC,12.5,2017-12-30
ZACZC,15,2017-12-30
ENBBN,15.9,2017-12-30
CB2DR,11.2,2017-12-30
FV2DR,16.7,2017-12-30
LANMC,16.25,2017-12-30
PA2DR,14,2017-12-30
THODR,15,2017-12-30
SB2DR,17,2017-12-30
GB2SI,22.5,2017-12-30
LD2SI,24,2017-12-30
SN2SI,20.2,2017-12-30
AL2SI,23,2017-12-30
AGSAG,15.5,2017-12-31
ANVAG,15.2,2017-12-31
CDRAG,17,2017-12-31
CNSAG,14.5,2017-12-31
CSOAG,10.5,2017-12-31
JCQAG,14.75,2017-12-31
NGRAG,14.25,2017-12-31
OBSAG,15.25,2017-12-31
PBLAG,14.75,2017-12-31
PECAG,15.75,2017-12-31
PTRAG,14.5,2017-12-31
ALRBN,19,2017-12-31
CRRBN,20.5,2017-12-31
EFLBN,21,2017-12-31
ELZBN,15.5,2017-12-31
ENLBN,16.6,2017-12-31
MXCBN,16,2017-12-31
PDMBN,15.5,2017-12-31
SFLBN,19.2,2017-12-31
CCNBS,20.1,2017-12-31
CSLBS,24,2017-12-31
DORBS,16.7,2017-12-31
GNGBS,16.5,2017-12-31
LBABS,22,2017-12-31
LPZBS,23.4,2017-12-31
LRTBS,21,2017-12-31
MLGBS,19,2017-12-31
PLNBS,18.5,2017-12-31
RBRBS,20,2017-12-31
SANBS,22.5,2017-12-31
SARBS,21.5,2017-12-31
SBABS,20.5,2017-12-31
SJCBS,23.5,2017-12-31
SNTBS,19,2017-12-31
SRLBS,20.5,2017-12-31
TSNBS,21.5,2017-12-31
CANCA,23.5,2017-12-31
CARCA,26.5,2017-12-31
CHMCA,24,2017-12-31
CMPCA,22.5,2017-12-31
CNDCA,23.5,2017-12-31
COBCA,23.7,2017-12-31
ESCCA,25.5,2017-12-31
HECCA,25,2017-12-31
HPOCA,23.5,2017-12-31
NYXCA,26.5,2017-12-31
PLZCA,25,2017-12-31
SBNCA,26,2017-12-31
AGZCH,11,2017-12-31
BSSCH,11.6,2017-12-31
BTVCH,10.5,2017-12-31
CAGCH,13.95,2017-12-31
CCOCH,15.5,2017-12-31
CDLCH,17,2017-12-31
CNDCH,19.25,2017-12-31
FIMCH,13.5,2017-12-31
GPCCH,12.35,2017-12-31
GYCCH,11,2017-12-31
IGNCH,18.5,2017-12-31
JMNCH,16.6,2017-12-31
LBQCH,16.5,2017-12-31
LJSCH,11.5,2017-12-31
LLNCH,18,2017-12-31
OJNCH,8.5,2017-12-31
PRRCH,17.7,2017-12-31
QIJCH,15.05,2017-12-31
RVGCH,10,2017-12-31
TMCCH,10.3,2017-12-31
TNTCH,15,2017-12-31
URECH,24,2017-12-31
ADLCL,10,2017-12-31
AMSCL,13.5,2017-12-31
ARACL,18,2017-12-31
CBRCL,13,2017-12-31
CCGCL,18.5,2017-12-31
CDACL,14.5,2017-12-31
CDLCL,12,2017-12-31
CNTCL,12.5,2017-12-31
CYTCL,21.5,2017-12-31
ESLCL,17,2017-12-31
FIMCL,19,2017-12-31
MCVCL,17.75,2017-12-31
PNGCL,11.8,2017-12-31
PRSCL,16,2017-12-31
SAACL,16,2017-12-31
SALCL,18.05,2017-12-31
SBNCL,13.25,2017-12-31
SMGCL,11,2017-12-31
SMJCL,7.5,2017-12-31
SPECL,17.2,2017-12-31
STOCL,17,2017-12-31
TORCL,18,2017-12-31
VCRCL,11.75,2017-12-31
ZPTCL,12,2017-12-31
BVSCM,24.5,2017-12-31
CDOCM,27.5,2017-12-31
CLLCM,27,2017-12-31
CQMCM,25.5,2017-12-31
CUACM,23.5,2017-12-31
DJLCM,25,2017-12-31
LAECM,25,2017-12-31
LDACM,27,2017-12-31
LPSCM,25.7,2017-12-31
MNZCM,27.1,2017-12-31
PNTCM,27,2017-12-31
RDRCM,26.5,2017-12-31
TCMCM,27.5,2017-12-31
TRJCM,24,2017-12-31
ACACP,22.75,2017-12-31
ANGCP,23.5,2017-12-31
AROCP,29.6,2017-12-31
BOQCP,24.5,2017-12-31
CACCP,26.5,2017-12-31
CASCP,22.5,2017-12-31
CHICP,23,2017-12-31
GRICP,23.25,2017-12-31
MALCP,24.5,2017-12-31
PCOCP,21.5,2017-12-31
PENCP,24.5,2017-12-31
REFCP,22,2017-12-31
REVCP,21,2017-12-31
SAACP,24.25,2017-12-31
SAYCP,24.25,2017-12-31
SDOCP,22.25,2017-12-31
SMICP,22.25,2017-12-31
SNACP,23.25,2017-12-31
TAPCP,28.8,2017-12-31
TUXCP,23,2017-12-31
TXOCP,24.9,2017-12-31
YAMCP,22,2017-12-31
CEADF,14.7,2017-12-31
DATDF,15.5,2017-12-31
GCNDF,12,2017-12-31
SJADF,14,2017-12-31
APRDR,14.7,2017-12-31
CAGDR,15.5,2017-12-31
CBRDR,13,2017-12-31
CEBDR,13.5,2017-12-31
CGVDR,16,2017-12-31
CLRDR,17.5,2017-12-31
CNTDR,16,2017-12-31
DRGDR,16.5,2017-12-31
FVLDR,13,2017-12-31
FZRDR,17.5,2017-12-31
GESDR,14.5,2017-12-31
GNCDR,9,2017-12-31
NZSDR,21,2017-12-31
PAGDR,14.5,2017-12-31
ROSDR,9.2,2017-12-31
SACDR,15.5,2017-12-31
SBYDR,16,2017-12-31
SELDR,16,2017-12-31
TDRDR,23.5,2017-12-31
TLHDR,17,2017-12-31
TMZDR,22.5,2017-12-31
VHGDR,14.2,2017-12-31
ACNGJ,15,2017-12-31
AEGGJ,14.75,2017-12-31
AMCGJ,13.25,2017-12-31
APSGJ,14.5,2017-12-31
CLYGJ,16,2017-12-31
DHGGJ,16.75,2017-12-31
ECBGJ,14.5,2017-12-31
ECHGJ,15.75,2017-12-31
ECNGJ,14.75,2017-12-31
GTOGJ,15.2,2017-12-31
IRPGJ,16,2017-12-31
JCRGJ,14.5,2017-12-31
LDYGJ,15,2017-12-31
LGVGJ,14,2017-12-31
PNLGJ,12,2017-12-31
PRSGJ,15.5,2017-12-31
SJLGJ,14.5,2017-12-31
SLMGJ,16,2017-12-31
SLSGJ,14.5,2017-12-31
SLVGJ,14.5,2017-12-31
SRTGJ,14,2017-12-31
TGRGJ,15.5,2017-12-31
VDSGJ,14.5,2017-12-31
AERGR,21.9,2017-12-31
AFIGR,28.5,2017-12-31
AHUGR,22.5,2017-12-31
AYUGR,25.75,2017-12-31
BVSGR,20.5,2017-12-31
CALGR,26.75,2017-12-31
CCHGR,19.5,2017-12-31
CHIGR,21,2017-12-31
CNLGR,27.35,2017-12-31
IGLGR,22.6,2017-12-31
IXTGR,23,2017-12-31
LCLGR,25,2017-12-31
LDCGR,25.5,2017-12-31
LDGGR,22.5,2017-12-31
ODAGR,27,2017-12-31
ODZGR,21,2017-12-31
OLNGR,21,2017-12-31
OMEGR,21,2017-12-31
PETGR,20.5,2017-12-31
QTZGR,25,2017-12-31
SJEGR,26.25,2017-12-31
TAXGR,17,2017-12-31
TCOGR,25,2017-12-31
TLAGR,13.5,2017-12-31
TLPGR,21.5,2017-12-31
VGRGR,28.5,2017-12-31
XXHGR,22,2017-12-31
YXTGR,18.5,2017-12-31
ZHTGR,27,2017-12-31
ENDHD,16,2017-12-31
IXMHD,15.7,2017-12-31
LMTHD,18.5,2017-12-31
MXQHD,13.5,2017-12-31
PCOHD,11.6,2017-12-31
PERHD,10.5,2017-12-31
PRGHD,15,2017-12-31
PRQHD,16,2017-12-31
PVAHD,15,2017-12-31
TLGHD,14.9,2017-12-31
TXMHD,12,2017-12-31
ZMPHD,17.6,2017-12-31
ZXTHD,13.5,2017-12-31
BBAJL,21.5,2017-12-31
BCSJL,18,2017-12-31
CIHJL,27.5,2017-12-31
CPEJL,26.5,2017-12-31
CRTJL,14.2,2017-12-31
CULJL,22.5,2017-12-31
CUNJL,19,2017-12-31
EXPJL,18.2,2017-12-31
GUAJL,18.5,2017-12-31
GUCJL,17.7,2017-12-31
HUAJL,17,2017-12-31
LDCJL,18.5,2017-12-31
PITJL,18.7,2017-12-31
POLJL,17,2017-12-31
SAUJL,14.2,2017-12-31
SGRJL,14,2017-12-31
TCAJL,18,2017-12-31
TENJL,17.5,2017-12-31
TLAJL,20,2017-12-31
TMLJL,18.7,2017-12-31
VEGJL,18,2017-12-31
ADUMC,12.5,2017-12-31
AGOMC,11,2017-12-31
AMEMC,14,2017-12-31
APTMC,25.75,2017-12-31
CHAMC,15.5,2017-12-31
CHIMC,11.75,2017-12-31
COIMC,14.75,2017-12-31
CORMC,16,2017-12-31
DGNMC,16.55,2017-12-31
EGIMC,13.5,2017-12-31
LPAMC,17.55,2017-12-31
LPDMC,17,2017-12-31
MCEMC,15.5,2017-12-31
MLPMC,13.25,2017-12-31
MNOMC,15.95,2017-12-31
MOCMC,3.5,2017-12-31
MRVMC,15.5,2017-12-31
PDBMC,13.5,2017-12-31
PORMC,13.5,2017-12-31
PUCMC,10,2017-12-31
SSIMC,21,2017-12-31
TEPMC,13,2017-12-31
UREMC,12.25,2017-12-31
VJIMC,11.75,2017-12-31
ZAMMC,15,2017-12-31
ZINMC,12.5,2017-12-31
ACHMR,16.7,2017-12-31
AMCMR,22.5,2017-12-31
CUEMR,20.2,2017-12-31
HIGMR,20.5,2017-12-31
HUAMR,22,2017-12-31
HUEMR,12.5,2017-12-31
HUTMR,19.5,2017-12-31
HUXMR,17.5,2017-12-31
JOJMR,22.7,2017-12-31
LCUMR,19.5,2017-12-31
MYOMR,22,2017-12-31
NEXMR,20.5,2017-12-31
OAXMR,20,2017-12-31
OBSMR,19.2,2017-12-31
OCTMR,16.5,2017-12-31
PIXMR,21.5,2017-12-31
PROMR,20.2,2017-12-31
RODMR,23.5,2017-12-31
SLDMR,18,2017-12-31
TICMR,19,2017-12-31
TILMR,22,2017-12-31
TLOMR,16.5,2017-12-31
TOTMR,18,2017-12-31
TPLMR,21.5,2017-12-31
ZCTMR,22,2017-12-31
ARBMX,13,2017-12-31
CHPMX,12.5,2017-12-31
CLYMX,12.5,2017-12-31
CNPMX,12.5,2017-12-31
EMOMX,11,2017-12-31
GRDMX,16.5,2017-12-31
K27MX,11.5,2017-12-31
PCGMX,10.5,2017-12-31
SADMX,12,2017-12-31
SLAMX,11.75,2017-12-31
SNLMX,10.5,2017-12-31
TTLMX,14,2017-12-31
TTQMX,11,2017-12-31
ANHNL,11.5,2017-12-31
ARRNL,18.75,2017-12-31
CANNL,17.5,2017-12-31
CARNL,18,2017-12-31
CDFNL,17.5,2017-12-31
CPRNL,16.5,2017-12-31
CRUNL,17.5,2017-12-31
CRVNL,10,2017-12-31
GALNL,16.25,2017-12-31
HGRNL,15,2017-12-31
LBCNL,15.75,2017-12-31
MTMNL,18,2017-12-31
MTRNL,17.5,2017-12-31
OBSNL,17.9,2017-12-31
ZRGNL,18.5,2017-12-31
RUINR,24,2017-12-31
TEPNR,22.2,2017-12-31
AYUOX,10,2017-12-31
BAEOX,20,2017-12-31
BOQOX,23.5,2017-12-31
CDOOX,24.2,2017-12-31
CHIOX,28,2017-12-31
HLOOX,17.8,2017-12-31
IXTOX,26.7,2017-12-31
JACOX,24.7,2017-12-31
OACOX,20,2017-12-31
OAOOX,18.6,2017-12-31
PAPOX,24.2,2017-12-31
PTAOX,27.1,2017-12-31
SCIOX,17.5,2017-12-31
SCROX,26.7,2017-12-31
SFUOX,21,2017-12-31
ACHPB,9.7,2017-12-31
ACJPB,12.5,2017-12-31
ADOPB,19,2017-12-31
AFRPB,14.5,2017-12-31
AHAPB,15.5,2017-12-31
AHUPB,15,2017-12-31
APAPB,23,2017-12-31
ATXPB,16.5,2017-12-31
AVCPB,21,2017-12-31
BDDPB,11.5,2017-12-31
CDSPB,13,2017-12-31
CEMPB,14.5,2017-12-31
CHIPB,19.5,2017-12-31
CHLPB,15.7,2017-12-31
CHSPB,20,2017-12-31
CNAPB,16.5,2017-12-31
CNGPB,9.7,2017-12-31
COAPB,20,2017-12-31
CPLPB,15,2017-12-31
CTZPB,17,2017-12-31
ECHPB,16,2017-12-31
HJTPB,14.5,2017-12-31
HQCPB,19,2017-12-31
HUAPB,14.5,2017-12-31
IZMPB,19.5,2017-12-31
LIBPB,12.5,2017-12-31
MAYPB,14.5,2017-12-31
OYAPB,5.5,2017-12-31
PCRPB,11.5,2017-12-31
PIXPB,20.5,2017-12-31
PUOPB,13,2017-12-31
QUIPB,13.5,2017-12-31
RNAPB,19,2017-12-31
SCRPB,15.5,2017-12-31
SMCPB,12,2017-12-31
SRTPB,12.5,2017-12-31
TDRPB,14,2017-12-31
TECPB,14,2017-12-31
TEHPB,12.5,2017-12-31
TELPB,20,2017-12-31
TEOPB,12.5,2017-12-31
TEZPB,15,2017-12-31
TLPPB,20.5,2017-12-31
TLXPB,13.5,2017-12-31
TPYPB,12,2017-12-31
UDSPB,14,2017-12-31
VENPB,17.5,2017-12-31
XDJPB,15,2017-12-31
ZCPPB,12,2017-12-31
ZOQPB,13,2017-12-31
ZRGPB,13.5,2017-12-31
CANQR,27,2017-12-31
CHOQR,24.45,2017-12-31
COZQR,28,2017-12-31
FCRQR,24.2,2017-12-31
ACTSI,20,2017-12-31
ARCSI,22,2017-12-31
AWSSI,23.5,2017-12-31
BDRSI,23,2017-12-31
CHXSI,22.35,2017-12-31
CLCSI,19.75,2017-12-31
CRRSI,19,2017-12-31
EFTSI,21.7,2017-12-31
GD2SI,24,2017-12-31
GMCSI,22.2,2017-12-31
GSVSI,20.5,2017-12-31
GTNSI,23.2,2017-12-31
HDZSI,20.5,2017-12-31
IXPSI,22,2017-12-31
JLPSI,21,2017-12-31
JNASI,22,2017-12-31
JORSI,22,2017-12-31
LCRSI,24,2017-12-31
MCHSI,21,2017-12-31
MZTSI,21.1,2017-12-31
OBSSI,20.9,2017-12-31
PMHSI,21.5,2017-12-31
QLTSI,24,2017-12-31
RAVSI,21.5,2017-12-31
RSRSI,21,2017-12-31
SFRSI,22,2017-12-31
SJNSI,23,2017-12-31
SLRSI,24,2017-12-31
SLTSI,23,2017-12-31
SQRSI,20.2,2017-12-31
TORSI,21.7,2017-12-31
VINSI,19.7,2017-12-31
ZOPSI,20.2,2017-12-31
AJTSL,20.2,2017-12-31
BLMSL,21.5,2017-12-31
CDVSL,21.5,2017-12-31
GANSL,20.5,2017-12-31
MATSL,17.5,2017-12-31
MICSL,18.9,2017-12-31
NRJSL,19.5,2017-12-31
PMYSL,18.5,2017-12-31
PUJSL,21.5,2017-12-31
RQTSL,21.1,2017-12-31
RVDSL,19.2,2017-12-31
SLPSL,14,2017-12-31
SVTSL,20.6,2017-12-31
TBLSL,20.4,2017-12-31
TMISL,21.9,2017-12-31
TMTSL,20.2,2017-12-31
ACNSO,17,2017-12-31
ALTSO,18.25,2017-12-31
AOBSO,20,2017-12-31
ARCSO,20.25,2017-12-31
ARISO,11.5,2017-12-31
ARZSO,13.5,2017-12-31
BCNSO,14.75,2017-12-31
BCRSO,11.5,2017-12-31
CCRSO,18.5,2017-12-31
CHTSO,18.25,2017-12-31
CJNSO,18.5,2017-12-31
CNNSO,18.5,2017-12-31
CZNSO,21,2017-12-31
ECBSO,21.1,2017-12-31
EPLSO,20.05,2017-12-31
HM2SO,21.4,2017-12-31
HSHSO,11,2017-12-31
IRASO,20.25,2017-12-31
LCDSO,16.2,2017-12-31
MZTSO,21,2017-12-31
NCZSO,18.6,2017-12-31
NGLSO,18.8,2017-12-31
NYNSO,16.75,2017-12-31
ORGSO,23,2017-12-31
PDNSO,17.6,2017-12-31
